doc_id,item,category,amount,price,discount
QHE721192,Порошок Tide,бытовая химия,2,599.9,0.0
QHE721192,Швабра,инвентарь,4,690.0,0.0
QHE721192,Полотенце махровое,текстиль,1,450.0,0.0
QHE721192,Сковорода 24см,посуда,3,1590.0,855.08
AGI369552,Полотенце махровое,текстиль,4,450.0,0.0
AGI369552,Швабра,инвентарь,2,690.0,78.55
AGI369552,Набор постельного,текстиль,4,1890.0,0.0
XOT835668,Швабра,инвентарь,1,690.0,0.0
XOT835668,Кастрюля 3л,посуда,1,1290.0,0.0
HQL337040,Кастрюля 3л,посуда,2,1290.0,0.0
HQL337040,Порошок Tide,бытовая химия,5,599.9,0.0
HQL337040,Кастрюля 3л,посуда,3,1290.0,0.0
HQL337040,Кастрюля 3л,посуда,5,1290.0,0.0
YCH573507,Набор постельного,текстиль,2,1890.0,0.0
YCH573507,Швабра,инвентарь,1,690.0,0.0
XZF553570,Швабра,инвентарь,1,690.0,0.0
XZF553570,Средство для мытья,бытовая химия,3,349.5,161.03
ORE864204,Швабра,инвентарь,1,690.0,0.0
ORE864204,Кружка керамическая,посуда,3,290.0,256.8
ORE864204,Сковорода 24см,посуда,3,1590.0,879.17
WCZ196620,Порошок Tide,бытовая химия,1,599.9,0.0
WCZ196620,Швабра,инвентарь,3,690.0,159.5
WCZ196620,Кружка керамическая,посуда,4,290.0,0.0
WCZ196620,Швабра,инвентарь,1,690.0,0.0
YKA607902,Швабра,инвентарь,5,690.0,0.0
YKA607902,Кружка керамическая,посуда,2,290.0,29.81
VYB356536,Сковорода 24см,посуда,5,1590.0,0.0
VYB356536,Швабра,инвентарь,5,690.0,0.0
UXF073370,Порошок Tide,бытовая химия,4,599.9,0.0
UXF073370,Порошок Tide,бытовая химия,5,599.9,0.0
UXF073370,Швабра,инвентарь,3,690.0,220.38
JUY178328,Порошок Tide,бытовая химия,1,599.9,0.0
JUY178328,Средство для мытья,бытовая химия,4,349.5,0.0
ACF005795,Кружка керамическая,посуда,4,290.0,0.0
ACF005795,Порошок Tide,бытовая химия,5,599.9,0.0
GZO681975,Набор постельного,текстиль,5,1890.0,0.0
GZO681975,Набор постельного,текстиль,2,1890.0,0.0
GZO681975,Кружка керамическая,посуда,4,290.0,0.0
CPW020472,Порошок Tide,бытовая химия,3,599.9,0.0
YGC854937,Кастрюля 3л,посуда,3,1290.0,0.0
YGC854937,Кастрюля 3л,посуда,5,1290.0,1284.29
YGC854937,Сковорода 24см,посуда,5,1590.0,0.0
NGT049752,Кружка керамическая,посуда,3,290.0,0.0
TZA690810,Порошок Tide,бытовая химия,2,599.9,0.0
OBG743812,Полотенце махровое,текстиль,1,450.0,0.0
OBG743812,Порошок Tide,бытовая химия,4,599.9,0.0
OBG743812,Кружка керамическая,посуда,5,290.0,0.0
OBG743812,Кружка керамическая,посуда,1,290.0,20.78
VSM115662,Средство для мытья,бытовая химия,1,349.5,67.05
VSM115662,Кастрюля 3л,посуда,1,1290.0,0.0
VSM115662,Кастрюля 3л,посуда,4,1290.0,0.0
BBH230522,Средство для мытья,бытовая химия,1,349.5,0.0
BBH230522,Кружка керамическая,посуда,3,290.0,0.0
BBH230522,Средство для мытья,бытовая химия,5,349.5,102.46
BBH230522,Полотенце махровое,текстиль,1,450.0,0.0
UJG317180,Полотенце махровое,текстиль,3,450.0,0.0
UJG317180,Набор постельного,текстиль,2,1890.0,0.0
UJG317180,Швабра,инвентарь,3,690.0,312.37
UJG317180,Полотенце махровое,текстиль,1,450.0,0.0
QBX794798,Швабра,инвентарь,2,690.0,0.0
QBX794798,Кружка керамическая,посуда,2,290.0,0.0
IRS960387,Порошок Tide,бытовая химия,3,599.9,0.0
IRS960387,Кастрюля 3л,посуда,2,1290.0,0.0
IRS960387,Полотенце махровое,текстиль,1,450.0,64.75
IRS960387,Полотенце махровое,текстиль,2,450.0,0.0
WDH788418,Набор постельного,текстиль,3,1890.0,0.0
WDH788418,Средство для мытья,бытовая химия,1,349.5,54.68
WDH788418,Кастрюля 3л,посуда,1,1290.0,0.0
JBN679552,Набор постельного,текстиль,3,1890.0,0.0
JBN679552,Набор постельного,текстиль,3,1890.0,1448.99
JBN679552,Средство для мытья,бытовая химия,1,349.5,0.0
JLF625040,Кастрюля 3л,посуда,2,1290.0,0.0
JLF625040,Кастрюля 3л,посуда,1,1290.0,284.12
JLF625040,Полотенце махровое,текстиль,5,450.0,0.0
ZHP478532,Набор постельного,текстиль,1,1890.0,0.0
ZHP478532,Полотенце махровое,текстиль,3,450.0,284.13
CRX776054,Порошок Tide,бытовая химия,3,599.9,0.0
CRX776054,Набор постельного,текстиль,4,1890.0,0.0
AAE085132,Средство для мытья,бытовая химия,5,349.5,0.0
AAE085132,Швабра,инвентарь,3,690.0,0.0
AAE085132,Набор постельного,текстиль,5,1890.0,0.0
TBQ534557,Полотенце махровое,текстиль,3,450.0,0.0
TBQ534557,Набор постельного,текстиль,5,1890.0,0.0
TBQ534557,Набор постельного,текстиль,2,1890.0,557.87
EUR632262,Кастрюля 3л,посуда,5,1290.0,0.0
EUR632262,Кружка керамическая,посуда,3,290.0,0.0
HGK127100,Швабра,инвентарь,3,690.0,252.43
HGK127100,Полотенце махровое,текстиль,1,450.0,0.0
HGK127100,Порошок Tide,бытовая химия,5,599.9,0.0
UKB344641,Сковорода 24см,посуда,2,1590.0,0.0
UKB344641,Кастрюля 3л,посуда,2,1290.0,0.0
CLA046286,Кружка керамическая,посуда,5,290.0,0.0
ICV453180,Порошок Tide,бытовая химия,3,599.9,440.27
XSB609565,Набор постельного,текстиль,1,1890.0,0.0
XSB609565,Кастрюля 3л,посуда,5,1290.0,0.0
XSB609565,Кружка керамическая,посуда,3,290.0,0.0
HIP361934,Кастрюля 3л,посуда,2,1290.0,0.0
HIP361934,Набор постельного,текстиль,4,1890.0,0.0
REH155648,Средство для мытья,бытовая химия,5,349.5,141.65
REH155648,Швабра,инвентарь,1,690.0,191.14
REH155648,Средство для мытья,бытовая химия,2,349.5,48.66
REH155648,Полотенце махровое,текстиль,4,450.0,236.38
NEI160860,Набор постельного,текстиль,2,1890.0,0.0
WVI089440,Порошок Tide,бытовая химия,2,599.9,356.43
WVI089440,Полотенце махровое,текстиль,2,450.0,0.0
WVI089440,Швабра,инвентарь,2,690.0,171.13
WVI089440,Швабра,инвентарь,4,690.0,404.22
BTV615324,Кружка керамическая,посуда,2,290.0,0.0
BTV615324,Сковорода 24см,посуда,4,1590.0,1765.56
BTV615324,Швабра,инвентарь,3,690.0,612.68
IRT675670,Швабра,инвентарь,1,690.0,0.0
IRT675670,Кастрюля 3л,посуда,3,1290.0,0.0
MXI376892,Кастрюля 3л,посуда,1,1290.0,0.0
MXI376892,Порошок Tide,бытовая химия,4,599.9,0.0
MXI376892,Сковорода 24см,посуда,2,1590.0,772.59
OJG386200,Набор постельного,текстиль,5,1890.0,0.0
OJG386200,Кастрюля 3л,посуда,3,1290.0,0.0
OJG386200,Швабра,инвентарь,2,690.0,0.0
OJG386200,Порошок Tide,бытовая химия,3,599.9,386.14
YAD161267,Швабра,инвентарь,1,690.0,0.0
YAD161267,Сковорода 24см,посуда,4,1590.0,0.0
YAD161267,Средство для мытья,бытовая химия,2,349.5,0.0
CNV854215,Кружка керамическая,посуда,5,290.0,0.0
CNV854215,Швабра,инвентарь,1,690.0,192.28
YWN250043,Порошок Tide,бытовая химия,5,599.9,0.0
YWN250043,Набор постельного,текстиль,3,1890.0,1341.83
LQV216856,Кружка керамическая,посуда,1,290.0,30.83
DKJ444501,Швабра,инвентарь,1,690.0,125.9
DKJ444501,Кружка керамическая,посуда,5,290.0,0.0
DKJ444501,Средство для мытья,бытовая химия,5,349.5,0.0
QYD897038,Кастрюля 3л,посуда,5,1290.0,0.0
QYD897038,Кружка керамическая,посуда,3,290.0,118.86
QYD897038,Кружка керамическая,посуда,2,290.0,0.0
ICO877449,Полотенце махровое,текстиль,2,450.0,0.0
ICO877449,Набор постельного,текстиль,1,1890.0,0.0
ICO877449,Средство для мытья,бытовая химия,1,349.5,0.0
ICO877449,Полотенце махровое,текстиль,3,450.0,230.05
OXV864347,Средство для мытья,бытовая химия,1,349.5,72.99
OXV864347,Сковорода 24см,посуда,5,1590.0,0.0
XCL385924,Сковорода 24см,посуда,5,1590.0,1182.1
KOY082553,Набор постельного,текстиль,5,1890.0,0.0
KOY082553,Полотенце махровое,текстиль,2,450.0,0.0
KOY082553,Набор постельного,текстиль,4,1890.0,0.0
KOY082553,Кастрюля 3л,посуда,5,1290.0,0.0
GZS352171,Порошок Tide,бытовая химия,5,599.9,0.0
GZS352171,Набор постельного,текстиль,4,1890.0,527.83
GZS352171,Порошок Tide,бытовая химия,2,599.9,0.0
